,body
511,'صف فروش ها جمع نمیشن که حذف میشن'
512,'دوستان کسی اطلاع داره که چرا مقدار  حجم دارایی سهم بورس من تو پرتفوی و عملکرد با هم یکی نیست. یعنی موقع فروش (کل دارای) در قسمت عملکرد یه عدد نشان می دهد و داخل قسمت پرتفوی یه عدد دیگر را نشان می دهد در واقع تعداد دارایی در عملکرد بیشتر از تعداد دارایی در پرتفوی ام هستش. ضمنا من از ایزیتریدر مفید استفاده میکنم.'
513,'حقوقی هم داره ریز میخره'
514,'خرید و فروش سهم همش بازیه حقوقیه'
515,'اسم این سهم رو باید بگذارند پودر کننده صف فروش . بمب بمب بمب . یه صف فروش دیگه هم بره تا 200 میلیون جمع بشه عالیه . شنبه صف خرید سنگین'
516,'دوستان منفی باف امروز که فراموش نکردین دولت اوراق داره میفروشه تو این وضعیت جمع شدن صف فروش به  این اندازه عالی هست'
517,'اگه امروز ۲۰۰ میلیون حجم بخوره عالی میشه رشد خوبی میکنه مثل فرابورس و کالا'
518,'مواظب سهامم هستم'
519,'سهام جایزه کی قابل معامله میشن دوستان ؟'
520,'سلام دوستان . لطف کنید به من بگید سهم بورس در سال 99 به هر سهم چقدر سود داده . باتشکر'
521,'وای چقدر نماد بورس خوبه عالیه چقدر سود میده چقدر من خوشحالم که این نمادو دارم آره اینو منتشر کن چون حقیقتو ناظر منتشر نمیکنه'
522,'تعلیق نماد معاملاتی (بورس1)
523,1400/08/17
524,09:20:41
525,به اطلاع فعالین محترم بازار می رساند؛ طبق اطلاعیه منتشره در تارنمای کدال جهت بررسی وضعیت اطلاعاتی ناشر، نماد معاملاتی شرکت بورس اوراق بهادار تهران(بورس1) حداکثر تا تاریخ 1400/08/22 تعلیق شد. مدیریت عملیات بازار شرکت بورس اوراق بهادار تهران'
526,'ه اطلاع فعالین محترم بازار می رساند؛ طبق اطلاعیه منتشره در تارنمای کدال   جهت بررسی وضعیت اطلاعاتی ناشر، نماد معاملاتی شرکت بورس اوراق بهادار تهران(بورس1) حداکثر تا تاریخ 1400/08/24 تعلیق شد. مدیریت عملیات بازار شرکت بورس اوراق بهادار تهران'
527,'قرار شده ۲۲ این ماه پیام بدن برای بازگشایی که به احتمال زیاد میره برای ۲۸ ماه آذر ماه'
528,'این نمیخواد باز بشه>؟'
529,'کسی اینجا نظری نداره؟ '
530,'گنه کرد در بلخ وباقی قضایا جناب صحرارودی سوپر ماینر کجا جوابگو هستند ایا این حسابرسی حقی از سهامدار احیا میکند ویا سهامدار باید خسارت نا کار شناسان را از جیب مبارک بپردازند'
531,'سلام بورس کی قراره باز شود؟'
532,'اره amo اما باید پول زیاد داشته باشی من سرمایم زیاد نیست اما اومدم توی 8 سال زیادش کنم کارم نشد نداره حتما یه فراکاب باید توی پرتفو باشه چون همیشه صعود و رشد خوبی دارند.ولی بزار سود نقدی خوب بگیریم فعلا رشد سهم خود صبا هم هست خلاصه یروز رشد میکنه این شرکت مجبوره سود ده باشه و رانتی بخاطر تامین اجتماعی و هم خبر رانتی هم داره حتما.بعد کل پول میزارم رو سه تا سهم یه پتروشیمی و یه صبا و یه فراکاب تمام.دیگه دستشون نمیزنم گر چه ادم کل پولش رو بزاره رو صبا هم کافیه بعد به جایی میرسه که دیگه نیاز نیست سهامش بفروشه سود نقدیش کافیه'
533,'بعد 300 درصد رشد میفروشم صبا میخرم سود نقدی خوبی میده هر سال.سهمم که رشد میکنه خلاصه'
534,'
535,خدا کنه بعد از باز شده ۵۰٪ بده و راه فرابورس رو بره'
536,'نمایندگان مجلس طرح تحقیق و تفحص از بورس رو به رای گذاشتن'
537,'نمیدونم شکایت از نماد بورس را به کجا ببرم؟'
538,'نهاد ناظر در طول کل مدت بازار کجا قرارداره چرا همیشه حاضرو ناظر نیست تاا جرات اجرای این همه قساد را نداشته باشن مگه قضیه چیز دیگه ای باشه نهاد حفظ حقوق سهامدار کیه'
539,'تعلیق نماد معاملاتی حداکثر تا تاریخ22/08/1400ادامه می یابد.'
540,'این سهم کی باز میشه ؟ کسی خبری داره ؟؟؟'
541,'فقط ماین وماینینگ اصل کار مدیران بورسی عکسشم هست رطب خورده منع رطب کند عجبا'
542,'انشاالله  امروز باز  بشه بعضی پولشون لازم دارن 
543,چهار  ماه بسته شده '
544,'اگر زودتر بازش کردند چی باید رو حرفشون بایستند وزودتر بازش نکنند تا من سهامدار ضرر نکنم'
545,'از نقشه بازار خون میچکه یه احتمال هست چون وضعیت قرمزه واسه همین بازش نمیکنن'
546,'اماده ای که امده شی با سه سناریو ولی بدون توضیح  برای سهامدار نامحرم'
547,'افشاهای رگباری اومد روی کدال،به امید خدا باز میشه دیگه کم کم'
548,'هر چه بگندد نمکش میزنند وای از آن روز که بگندد نمک
549,وقتی حال روز سهم بورس اینه به هیچ کس هم جواب نمیدن چ کاری از دست من یا سهام دارها بر میاد بیاد چی کار کنیم وقتی این همه سایت خبرنگار ازشون سوال میکنن هیچ جواب واضحی نمیدن معنییش چی میشه چند روز چند ماه این سهم باید بسته باشه زمانی ماینر خریدن باپول سهام دارها به کسی گفتن یکی دیگه خلاف کرده یکی دیگه پولش رو برده سهام دارها باید بلا تکلیف بمونن  این یعنی بورس داخل کدال حداکثر تا ۸ آبان تعلیق جهت شفاف سازی جواب نمیدین حالا میخواین شفاف سازی کنید'
550,'دوستان گزارشات اومد روی کدال
551,فردا باز میشه'
552,'علامت تعلیق هنوز روی نماد هست '
553,'شاید فردا نهم آبان باز بشه ولی واسا خودم عجیب بود ک چرا هشتم باز نشد'
554,'طبق اطلاعیه ای که خود بورس داد قرار بود نماد امروز باز بشه ولی این اتفاق رخ نداد از سه حالت خارج نیست
555,1) ناظر خوابش برده خستس
556,2) ناظر آلزایمر داره یادش رفته امروز باید نماد باز میشده
557,3) ناظر عشقی کار میکنه هر زمان عشقش بکشه نماد رو باز میکنه
558,ظاهرا هم واسه آقایون مهم نیست که سهامدار بر اساس اون اطلاعیه ای که صادر شده برنامه ریزی میکنه واسه فروش سهمش 
559,شاید مردم پول لازم باشن شاید چک داشته باشن شاید گرفتاری داشته باشن'
560,'امروز 8آبان بود سهمو باز نکردن'
561,'ارشیو شخصی'
562,'ای کسانی که فکر میکنید هشتم باز میکنه 🤣🤣🤣🤣🤣
563,اشتباه فکر میکنید 😅
564,آخر ماه باز میکنه .. شایدم آخر ماه دیگه خدا می دونه'
565,'شنبه باز میشه سهم؟'
566,'اسمش نهاد ناظر تو بخون هر چی دلت میخاد'
567,'دوستان بازار رو کامل منفی کردن که اوراق بفروشن برای کسری بودجه 
568,چیزی نمونده فروش اوراق تموم بشه'
569,'سهم وتوکا چرا اینقدر بی صاحبه؟ 😐'
570,'انگار ی توافق هم اینجا پیدا شده 1+1 بورس وشهرداری انساالله که زود توافق کنن به نفع خودشون تا تکلیف سهامدارا مشخص شود'
571,'جالب اینکه 
572,بیت کوین را کسان دیگه ای استخراج میکردن 
573,حالا نماد بورس بخاطر تحقیق ،تعلیق میشه 
574,و موقع بازگشایی ضربه نخوره خوبه 
575,مثل اینکه دلیل تعلیق نماد بورس ،تحقیق در مورد همان ماینرها بوده'
576,'شهرداری ساختمان  سعادت آباد رو پلمب کرد ولی بازار شنبه بازار بازه'
577,'شهرداری منطقه 2 تهران بابت کمیسیون ماده 100 ساختمان سعادت آباد بورس تهران طلب 1000 میلیارد تومان جریمه کرده است . کل مخارج ساخت این ساختمان حدود 400 میلیارد تومان بوده . پیدا کنید پرتقال فروش را .'
578,'فرابورس در طی 3 ماه ( 41 کندل ) 305 درصد رشد کرده امیدوارم بورس هم همین روند رو در پیش بگیره و خیلی سریع گپ قیمتی رو پر بکنه'
579,'فکر کنم گروهای قدرت و سیاسی دارن مقابله میکنن با هیت مدیر و ریس بورس هی دارن پول خارج میکنن'
580,'بویه بر جام میاد🙄'
581,'اقا سرمایه گذاری  در خرید ماینر و استخراج بیت کویین هم در سود خالص  تاثیر داره اگر نداره باید شکایت کنیم'
582,'دوستان بررسی کنن من هرچی حساب میکنم این سهم راه فرابورس رو میره و ۱۰۰٪ سود داره بعد از بازگشایی '
583,'چرا صندوقهای سرمایه گذاری با سود غیر ثابت تبلیغ دروغ میکنند که فلان درصد بازدهی در سال ۱۳۹۹ داشته اند همه میدانند که سال ۹۹ هر شخص که سهام خریده بود سود چند صد درصد نصیبش شد پس چرا بعد ازان هیچ صندوقی نتوانست ۳۰۰ درصد سود بدهد وسود انها باشاخص کل همراه شد نمدارهای انها را که بررسی کنیم اگر شاخص کل بالا رود سود انها هم بالا میرود وبر عکس'
584,'افزایش مکرر سرمایه باعث رانت وفساد میشود وشفافیت را ازبین میبرد وباعث سقوط سهام شرکتهایی میشود که به دلیل عدم افزایش سرمایه قیمت سهامشان بالا هست میشود مسولین بورس باید فکری بحال این افزایش سرمایه ها بکند تا بازار وقیمتها شفاف. شود وسرمایه سهمداران ماه ها بلوکه وتکه تکه نشود'
585,'فرا بورس وکلا بورس ونهاد یا ناشر یا هر کسی که در اوج قیمت هر سهمی سهم ره به بهانه ظن دستکاری میبنده  وباعث سقوط سهم و صف فروش میشه نتیجه بررسی را اعلام کنه وفرد متخلف را معرفی ومجازات کنه در غیر اینصورت حق بستن هیچ سهمی را به این بهانه ندارد چون باعث بالا نرفتن قبمتهای همه نمادها از ترس بسته شدن پی در پی نمادها میشود وضررو زیان به سهامدارانی که تازه خرید نموده اند میشود ودر نتیجه سهامها سقوط میکنند وتعادل بازار وشفاف بودن بازار بهم میخوردوشرکتها مجبور به کاهش قیمت از طریق افزایش سرمایه میشوند چرا توی بورس ما نباید قیمت های بالای ۱۰۰۰۰۰تومانی داشته باشیم چه اشکالی دارد سهامدار خودش باید تصمیم بگیرد در چه قیمتی سهم را بخرد یا بفروشد'
586,'با سلام لطفا بورس جواب بده با توجه به حجم بالای معاملات در سال ۱۳۹۹ که حدود۲۰ برابر سالهای فبل بوده چرا سود هرسهم اینقدر کم گزارش شده است وبه سهامداران سود کنی داده شده است باید کارمزدهای دریافتی سال ۱۳۹۹ وکلا حسابهای نماد بورس وفرابورس توسط یک شرکت حسابرس بی طرف وخبره دوباره رسیدگی شود وشفاف سازی شود'
587,'250 درصد میده هیچی نده صف خرید تا 3500 شاید هم 4000 تومنم بره'
588,'اگه در شرایطی باز بشه که بازار حال و هوای منفی داشته باشه زیاد نباید توقع ازش داشت اما اگه حال و هوای کلی سبز باشه باید منتظر سود شیرینی باشید.'
589,'دقیقا راه فرابورس رو خواهد رفت 
590,پیشنهاد به خرید و نگهداری'
591,'وارن بافت بیاد اینجا یکی دو بار تامین مالیش کنن ببینیم چند چنده🤔'
592,'دوستان به نظرتون با چه قیمتی باز میشه؟'
593,'خسته نباشی دلاور  نان پدر حلالت تازه نفس'
594,'نماد تا ۸ آبان تعلیق شد '
595,'نهاد ناظر خوابه خیلی وقته'
596,'اره سود را دو هفته پیش خودشان به حساب سجامی واریز کردند'
597,'این وکیل شرکت بورس چقدر بیسواد در رشته حقوق ووکالت بوده که به رای بدوی کمیسیون ماده صد شهرداری به دیوان عدالت اداری شکایت کرده است وکیل فقط حق داشته به رای صادره کمیسیون تجدید نظر ماده صد شهرداری شکایت کند ان هم با دلایل و مستندات قانونی نه دست خالی فقط اعتراض بنویسد باید دلایل ومستندات محکمه پسند ارائه میکرد که متاسفانه ای کار را نکرده والان باید با پرداخت جریمه ورضایت شهردادری موضوع را حل وفصل وموانع خلافهای انجام داده در مورد ساختمان را بر طرف نماید وکسانی که مسول بوده اند در ان زمان وخلاف کرده اند به علت فعل یا ترک فعل جریمه را از جیب مبارکشان پرداخت نمایند تا به سهامداران از بابت این خلاف وکوتاهی ضرری نرسد  حتی یک نفر از سهامداران هم میتواند علیه سازمان بورس یا فرد خاطی در بورس شکایت ومطالبه ضرر وزیان بنماید'
598,'سود مجمع سالیانه رو کسی دریافت کرده ؟
599,اخه قرار بود توی مهر واریز کنن ؟'
600,'میخرمش هر موقعه باز کنه۵۰ تا ۱۰۰٪ توش داره'
601,'سازمان بورس سر صبحی پیام داده احساسات خود را کنترل کنید.حالا یه 70 و80 درصدی ضرر کردین این همه آه و نالتون برا چیه'
602,'.'
603,'زنگ زدم امور سهام
604,گفتن اواخر هفته آینده
605,باز اگه مشکلی پیش نیاد
606,تاکید هم داشت اگه مشکل نباشه
607,با این حرفش احتمالا حالا حالا خبری نیست 🙄🙄'
608,'بعید میدونم امروز هم باز بشه'
609,'خب با توجه به افشای جدیدش احتمال میره سهم یا فردا یا هفته ی دیگه باز بشه'
610,'منتظرم سهم باز کنه. سهم رو جارو کنم
611,دقیقا آقای سرشار زاده درست میگن'
612,'سلام دوستان این نماد با توجه به سود سازی امسالش و بالا رفتن فرابورس وهمگروهاش وجاماندن از بازار  حداقل ۱۵۰ تا ۲۰۰ درصد رشد خواهد داشت مواظب سهمتون باشید حول نشید و صبور باشید این از من برای شما یادگار بماند .ارادتمند سرشارزاده.'
613,'آخر ماه باز میشه 😂 😂 😂 😂 😂 😂 😂'
614,'از تابلو فرعی ب تابلو اصلی بورس انتقال یافت سهام بورس کالا 
615,منبع تجارت نیوز'
616,'سلام
617,یک سئوال ساده که نمی دونم!! این عدد سهام فعلی که در کارگزاری نشون میده و آخر هفته باز میشه  افزایش سرمایه در آن اعمال شده ؟ و همچنین مبلغ سهامش؟'
618,'سلام دوستان 
619,الان با شرکت تماس داشتم امور سهام گفتش تا آخر هفته سهم باز میشود با 250 درصد سهام جایزه . بنظرتون با چه قیمتی باز میشه و کی بخریم؟ ونظرتون بطور کلی چیه؟'
620,'کلا تجربه تاریخی تلخی واسه من بود..اومده بودم حفظ دارایی کنم که کارم به گدایی کشید..کل بورس هیچ گاه با شاخص دلار حرکت نکرد..کلاه برداری قرن(اونایی که اینکارو کردن تو اون دنیا تا ابد در اتش خشم خدا خواهند سوخت)خدا از حق النس نمیگذره..اخرتشونو فروختن.'
621,'انقدر بورس و انرژی3 رو بسته نگه داشتید تا هم بازار قرمز شد و هم خیلی از سهامدارا خسته شدن
622,که وقتی بازش کردید فشار فروش زیادی داشته باشه
623,این کارتون درست نیستش'
624,'باز شد باز شد
625,.
626,.
627,.
628,.
629,.
630, 😂 😂 😂 😂 😂 😂 😂
631,.
632,.
633,حالا بلخره باز میشه یه وقت  😂 😂'
634,'ظاهرا بعد از افشای دستگاه های ماینر در زیرزمین شرکت بورس خجالت میکشه باز بشه . نمیدونم شایدم واسه باز شدن زیرلفظی میخاد'
635,'محمد کرمی شش ماهه اینجا نظراتتو میبینم از خنده میمیرم دمت گرم'
636,'اگر رو قیمت 1030 تومان باز بشه پس پولبک خط روند شکسته شده زده و باید تا مقاومتهای مشخص شده رشد کنه ولی اگر خط روند رو به پایین بشکنه تا حمایتهای مشخص شده پایین خواهد آمد.
637,اگر با مثبت بالا یعنی در محدوده مقاومت باز بشه میتونه تا 1030 تومن اصلاح کنه.
638,#نظر شخصی'
639,'محرم و صفر هم تموم شده این سهم باز نشد ، ایشالله دیگه برا نیمه شعبان بازش کنن'
640,'بیتکوین ها رو باید خرد کنن بین سهام دارن چون پول ماینر ها رو از سود و درآمد شرکت که ما سهامدارش هستیم خریدن. '
641,'قرار است از این به بعد سود ها را با بیتکوین بدهند'
642,'انشالله آخر هر ماه باز میشه'
643,'انشالله چهارشنبه باز میشه و ناظر تو دفعه اول قبول نمیکنه احتمالا معاملات رو و میفته برای شنبه که دوباره باز بشه'
644,'انشالله هارشنبه باز میشه'
645,'فک کنم طبق قانون حداکثر 2 ماه میتونه بسته باشه'
646,'این سهم رو باز کنید شد سه ماه...'
647,'این بورس کی باز میشه کسی خبر داره اطلاع بده که ما بیچاره نشیم'
648,'۸۲ دستگاه ماینر که دیگه انقدر سروصدا نداره!
649,ماهیانه کلاً ۱۶۰ کیلووات برق مصرف می‌کردن و ماهی ۱۱،۱۰ تا بیت کوین استخراج می‌کردن و تمام!'
650,'هنوزبازنشده سود تپلی میده'
651,'چی شد چرا با منفی باز شد'
652,'باز شد.'
653,'#بورس
654,من به کل ماجرامشکوکم ، انشاا.. که خیره!
655,کاشکی مسئولین اداره برق هم بابت قطعی برق که همچنان ادامه داره ، استعفا میدادند.'
656,'باز شو دیگه لعنتی'
657,'یه سری از افراد اعتقاد دارند که این ماینرها برای استخراج بیت کوین نبوده چون امکان مخفی بودن اینکار برای همبشه میسر نبوده بلکه از این ماینرها برای الگوریتم بازار استفاده میشده'
658,'بهترین کار اینه که بیت کوین هایی رو که ماین کردن تو مجمع تقسیم کنن به عنوان سود مجمع'
659,'خبر خوش اینکه قیمت بیتکوین افزایشی هست و بیت کویین هایی که بچه ها تو زیر زمین برامون ماین کرده الان قیمتش بیشتر از هفته قبله 
660,فک کنم حداقل 50 بیت ماین کرده باشن که میشه حدود 2.5 میلیون دلار معادل 70 میلیارد تومان ، البته باید دید دستگاه ها رو از برق کشیدن یا هنوز دارن ماین میکنن 
661,اینا در صورتی هست که  کیف پول شخصی خودشو وصل نکرده باشه و بیت کوین ها در دسترس سازمان باشه'
662,'در ایزی تریدر قیمت زده 10440'
663,'پیام آموزشی امروز بورس همه ماینرها رو تو یک زیر زمین نصب نکنید'
664,'گزارش فعالیت ماهانه منتهی به 400/05/31حدود 2000 میلیارد سود خالص داشته است وتا پایان سال بیش از 5000میلیارد سود خالص خواهد داشت بنابراین سهم به قیمت قبل از مجمع خواهد رسید.'
665,'یکی قشنگ توضیح بده چی شده دقیقا ، چ بلایی سرش اومده'
666,'#بورس 🔴 بدلیل عدم افشای بموقع اطلاعات پروژه استخراج رمز ارز ( تحقیقات یا ...فرقی ندارد) ، مدیر شرکت بورس و هیات مدیره آن باید فورا برکنار شده و مطابق ماده ۷ و ۴۵ قانون بورس اوراق بهادار و دستور العمل اجرایی افشای اطلاعات با آنها برخورد قضایی شود.'
667,'یه سهم بدشانس تو فراکابیا '
668,'فردا باز میشه قیمت تابلوش آپدیت شده
669,سعی کنید هیجانی دست به فروش نزنید'
670,'احتمالا شنبه هفته دیگه باز میشه'
671,'جالبه تمام سهام دارها این سهم الان دو ماه بیشتره منتظرن باز بشه هنوز هم قیمتش معلوم نیست دقیق رو چه قیمتی باز میشه ولی بعضی از دوستان از الان دارن میگن اول بازار اجازه ورود میده چطور سهمی که بستس اول بازار اجازه ورود میده فشار فروش داره بعد اگه اگه هم باز بشه اشتباه نکنم برای تعین قیمت باز میشه نه فشار فروش بابا الان من خیلی‌ها بیشتر از دوماه هست پولمون تو این سهم بستس بزارین باز بشه بعد سیگنال بدین'
672,'بورس تا سهام جایزه اضافه نشه باز نمیشه
673,پس احتمالا فردا هم باز نمیشه
674,اما وقتی باز بشه راه کالا و فرابورس رو میره و از همینجا 200 درصد میده '
675,'بازگشایی بورس'
676,'باسلام فردا احتمالا باز بشه چون کالا را بدون دلیل پایان معاملات بازار یکشنبه بستند.ممکن در بازگشایی کمی فشار فروش بالا باشه و فرصتی باشه برای اونایی که میخان ورود کنند و یا اضافه کنند.'
677,'عزیز دل دارن جلوی رشد نقدینگی رو میگیرن با این کار دارن ترمز دستی بورس روومیکشن . یک مردم سرمایه هاشون رو خارج نکنن  دو خیلی آهسته روند رو صعودی میکنن آن شالله که همه از تو ضرر در بیان
678,امیدوارم که برجام درست بشه همه به ی شکوفایی برسن. منتظر خبر های خوب یا از برجام یا از گروه شانگهای هستیم'
679,'از یکسال پیش تا حالا سهامها نسبت به بقیه بازارها رشدی نکرده است بلکه ضرر هم داشته است شاخص با توجه به افزایش اجناس وتورم الان باید ۲۰۰۰۰۰۰باشه ولی مسولین بورس جلوی ای کار را با بی کفایتی میگیرند واجازه رشد نمیدهند'
680,'مرغ کیلویی ۵هزارتومان رسیده به ۳۰۰۰۰ تومان قیمت واقعی سهامها الان باید ده برابر باشند چی ارزون شده که سهام ارزون بشه شاخص کل هم الان نسبت به تورم باید ۵۰۰۰۰۰۰ باشه ولی متاسفانه نوسانگیرها وبازار گردانها نمیگذارند سهامها رشد کنند دارند خیانت میکنند قیمت خیلی سهامها قیمت سال ۹۷ است چرا باید اینطوری باشه قیمت ماشین هرسال دوبرابر میشه بورس باید سودش بیشتر از بقیه بازارها باشه'
681,'سلام دوستان من ی سوال دارم
682,چه.جوری رو شاخص1100 بنده ضررم 40%بود
683,الانم که شاخص رو 1400 ضررم رو 40% وایساده😟😟😟
684,من نمیفهمم'
685,'سود نقدی واریز شد به حساب سجامی'
686,'اگه سه شنبه باز بشه میخرم سنگین
687,بسیار ارزندست این سهم...'
688,'بله سود نقدی بورس برام واریز شد...'
689,'ظاهرا امروز یکشنبه 4 مهر هر سهم 45 تومن سود نقدی واریز شده'
690,'بورس اگر میتوانید نوسان بگیرید بمانید والا پول و سرمایه را قفل نکنید نقد شوندگی بورس زیر صفر است و نقدینگی وجود ندارد .
691,شرکت ها اکثرا به دلیل افزایش سرمایه دروغین سهم ها را بالا نگه داشته اند تا در بورس و کدال تایید شود بعد از تایید افزایش سرمایه قیمت ها نزولی به سمت واقعیت است .'
692,'گفتن تو اسفند ممکنه باز بشه . منم نمی دونم'
693,'بورس ایران ورشکسته شده جمع شده به جاش پارک زدند ، پارکش هم به خاطر کرونا تعطیل دنبال چی میگردی .
694,من با صد و شصت میلیون ضرر دیگه پارک نمی روم. 
695,🤣🤣🤣🤣🤣🤣🤣🤣🤣🥰🤣🤣🤣'
696,'نماد رو هیچ کس نمیدونه کی باز میشه الکی شایعه درست نکنید 
697,بهتر که بستس باز بود الان باید حرص اینم میخوردیم'
698,'جون مادرت تو این شرایط بسته بمون'
699,'سلام. کسی می دونه نماد کی باز میشه؟'
700,'امیدوارم که با ی مثبت بالا ۴۰٪ باز کنه
701,و روند سعودی باشه'
702,'پرسود باشید '
703,'اگر فراکاب دارین تا آخر سال حد اقل ۳۰۰ درصد بهتون میده . نفروشید.  '
704,'فروی . پرداخت. قشهد . ثشرق. سیلام . سدور'
705,'دوستان ما که نتونستیم سهم فراکاب بخریم بهمون چی پیشنهاد دیگه ای دارید؟ لطفا خیلی تو ضررم ممنون میشم راهنمایی کنید'
706,'هفته آینده باز عرضه اولیه هست آیا؟ ما یه نفسی بکشیم.'
707,'شاخص از 1450 برمیگرده به 1600 و این عدد رو هم میزنه اونوقت شبندر و کالا و بورس و فرابورس دیدنی میشن'
708,'دوستانی که سهام بورس دارید و ماه ها به پای اون ماندید این سهم بعد از بازگشایی 40 درصد مثبت میخوره که حقش هم هست
709,بعد از اون چند روزی معارفه ی بورس هست و سپس صف خرید
710,قدر و منزلت سهم خود را بدانید'
711,'زنگ زدم امور سهام بورس
712,گفتن تا 15 مهر ثبت میشه افزایش سرمایه🙄'
713,'بورس و انرژی 3 پاییز باز میشن با 70 درصد و بعدش یه چند روزی اصلاح می کنن'
714,'باز بشه خیالتون راحت صد در صد سود بهتون میرسه میره جاییکه کالا رفته'
715,'دوستان آخرین هفته پایانی شهریور باز میشه'
716,'دوماه گذشت . ۴ ماه دیگه مونده تا بازشدنش'
717,'بنا به اخباری که من شنیدم آخر این ماه باز میشه به امید خدا،'
718,'کی باز میشه؟'
719,'چه میکنه این فرابورس تخت گاز داره میره . باباش بیاد چی میشه'
720,'سرمایه گذاری تو پتروشیمی بین‌المللی قشم توسط بورس به میزان ۹.۳۷ ٪ در گزارش پتروشیمی شازند بخوانید'
721,'دوستان لطفا اهداف فضایی ندین
722,با مثبت کم باز بشه ولی روندش مثبت باشه بهتر ازینه 50% به بالا بازگشایی شه ولی منفی بخوره'
723,'دوستان اطلاع داری با این افزایش سرمایه قیمتش چقدر هست و حدودا بچه قیمتی باز میشه، لطفا راهنمایی بفرمایید مچکرم'
724,'با 50مثبت باز میشه و از همونجا 100 درصد دیگه میدهف راه کالا و فرا بورس رو میره'
725,'بورس'
726,'آخرین برآوورد های برای باز شدن؟ دوستان مطلع خواهشن اخبار بدین.'
727,'سلام افزایش سرمایه ک انجام شده...سهام جایزه میدن یا حق تقدم هست؟؟'
728,'پول بزارید پشت خط تا باز کرد بخرید این سهم از نون شب واجب تره
729,۵۰ مثبت رو میزنه تو باز گشایی گول ابن سمپاشهای رو نخورید'
730,'Zedixx
731,هدفت از اینه همه مفنی بافی چیه واقعا
732,توی همه صفحات میری و حرفای تکراری میزاری...
733,این سهم طلاست 
734,منتظر باز شدنش هستیم...'
735,'عجب بازاری شده .. واقعا با چند می خوان بازش کنن؟ ... 100؟ 200؟ ...... ;))'
736,'عشقا برید دنبال تحلیل بنیادی تکنیکال مفت نمی ارزه
737,فکر میکنید چرا شپنا بالاتر از ۱۵۰۰ نمیتونه بره برسه به سقف پارسال ؟؟؟؟؟
738,چن ارزش ذاتیش ۱۴۰۰ بیشتر فعلا نیست
739,بخاطر همین مرتب میاد رو ۸۵۰ و بعد رو ۱۵۰۰ متوقف میشه
740,این داستان برای این نماد هم فعلا تکرار میشه 
741,به سقفهای قبلی پارسال هم نگاه نکنید همش حباب بود متاسفانه'
742,'مطمعن هستم بعد از افزایش سرمایه وارد اصلاح میشه تو همون تا کف قبلی این نماد فوق العاده آینده جذابی داره'
743,'داداش چرا حرف مف میزنی من تو فروردین این سهم رو ۳۶۰۰ خریدم به دید ۷ تومان از اونجا اومد رو ۳۸۰۰ و ریخت تا ۲۲۰۰ تمام دلایل رو برسی کردم بعد متوجه شدم علت اینکه از اونجا ریخت این بود که بنیادی کارها میدونستن قیمت یا ارزش ذاتی این نماد اینقدر بیشتر نیست بخاطر همین وقتی رسید به ۲۲۰۰ یعنی نصف قیمت حجم خورد و ریختن تو سهم چن داشت به نصف ارزش ذاتی معامله میشد و ارز طرفی وقتی سهمی میخاد بره افزایش سرمایه اون رو یا به قیمت واقعی میرسونندش و بعد میبرن یا اینکه نصف ارزش ذاتی میبرن مجمع مثل شبندر که با ۵۰ درصد باز شد 
744,این نماد سوپر لاکچری در تیرس من هست سود سازی عالی بنیاد درجه یک اما واقعیت رو بهت گفتم الان قیمتش همینی هست که میبینی باید ۵۰ درصد بیاد پایین تا بیان روش'
745,'این سهم با مثبت 50 باز میشه و حداقل از اونجا هم صد در صد میده، مواظب باشین پیاده نشین، سقف قبلی رو میزنه سهم '
746,'یک هفته پیش ناظر یه پیام گذاشت که تا ساعت ۱۰ بورس باز میشه جریان این پیام چی بود چرا باز نشد وپیام دیگری غیر ازاین تاکنون ناظر نداده چرا این کار را نمیکند تا باز شدن ان شفاف بشه وهمه بدانند'
747,'بورس بالاخره کی باز میشه ؟ میگن هقته آخر شهریور درسته ؟'
748,'من شنیدم با ۵۰ مثبت باز میکنه بدون دامنه چون این مدت تو رشد شاخص کلی سود بدست اورده'
749,'سلام دوستان من یک سوال دارم امیدوارم کسی جوابمو بده من یکساله سهام جایزه این سهم رو دارم قابل معامله نمیشه برام. کاری میتونم انجام بدم برای باز شدنش'
750,'قربونت همون بسته بمونی بهتره .'
751,'ظاهرا تاریخ دوباره داره تکرار میشه پارسال پالایشی ها فاتحه بازار رو خوندن امسال هم بازگشایی شبندر همه چیزو بهم ریخت خدا خودش رحم کنه'
752,'پول پشت خط حاضر داشته باشید باز کرد با هر قیمتی جارو کنید 
753,از من بشما نصیحت
754,'
755,'واقعا من موندم به سوال ها و رفتار بعضی ها،بابا افزایش سرمایه بیش از ۲۰۰ درصد نماد را میتونن ۶۰ روز ببندند تو رو خدا به خودتون زحمت بدین یکم مطالعه کنین.نماد بورسی مگه دکه روزنامه فروشی مه زنگ بزنین بازش کنن واقعا که!'
756,'بیشتر از ۴ ماه دیگه مونده . خدا یا طاقت نداریم.'
757,'28 تیرماه بسته شده و حداقل تا 28 شهریور ماه بسته هست'
758,'ماشالله امور سهام که اصل جوابگو نیستن
759,هر چی زنگ می‌زنیم کسی جواب نمیده..
760,آخه کی میخان این سهم باز کنن.. نمیخاین ک تو بدترین موقع بازش کنید 😒😒😒'
761,'پر قدرت باز میکنه چون تو این مدت سود سازی داشته '
